DATE,FRBKCLMCILA
2004-09-01,0.07932
2004-10-01,0.08912
2004-11-01,0.24016
2004-12-01,0.22601
2005-01-01,0.1548
2005-02-01,0.29868
2005-03-01,0.23798
2005-04-01,0.29714
2005-05-01,0.38718
2005-06-01,0.30435
2005-07-01,0.31701
2005-08-01,0.49323
2005-09-01,0.36435
2005-10-01,0.34661
2005-11-01,0.44156
2005-12-01,0.42587
2006-01-01,0.57259
2006-02-01,0.57929
2006-03-01,0.53145
2006-04-01,0.64611
2006-05-01,0.62375
2006-06-01,0.59739
2006-07-01,0.62365
2006-08-01,0.62108
2006-09-01,0.60794
2006-10-01,0.64131
2006-11-01,0.67287
2006-12-01,0.57513
2007-01-01,0.60827
2007-02-01,0.58384
2007-03-01,0.65209
2007-04-01,0.51681
2007-05-01,0.57828
2007-06-01,0.50262
2007-07-01,0.47636
2007-08-01,0.48125
2007-09-01,0.39432
2007-10-01,0.32348
2007-11-01,0.2303
2007-12-01,0.19782
2008-01-01,0.1858
2008-02-01,0.13222
2008-03-01,-0.03888
2008-04-01,0.00563
2008-05-01,-0.24662
2008-06-01,-0.25605
2008-07-01,-0.41194
2008-08-01,-0.42679
2008-09-01,-0.47735
2008-10-01,-0.90389
2008-11-01,-1.1697
2008-12-01,-1.35858
2009-01-01,-1.58244
2009-02-01,-1.80856
2009-03-01,-2.05978
2009-04-01,-2.0474
2009-05-01,-2.13678
2009-06-01,-2.18512
2009-07-01,-2.25484
2009-08-01,-2.30509
2009-09-01,-2.31618
2009-10-01,-2.37166
2009-11-01,-2.31859
2009-12-01,-2.37781
2010-01-01,-2.28501
2010-02-01,-2.34381
2010-03-01,-2.29858
2010-04-01,-2.19733
2010-05-01,-2.17023
2010-06-01,-2.19075
2010-07-01,-2.16214
2010-08-01,-2.21881
2010-09-01,-2.33463
2010-10-01,-2.16864
2010-11-01,-2.21067
2010-12-01,-2.04236
2011-01-01,-2.07976
2011-02-01,-1.92688
2011-03-01,-1.92022
2011-04-01,-2.00161
2011-05-01,-1.99126
2011-06-01,-1.92046
2011-07-01,-1.92596
2011-08-01,-2.00374
2011-09-01,-2.03199
2011-10-01,-1.91679
2011-11-01,-1.767
2011-12-01,-1.74057
2012-01-01,-1.74455
2012-02-01,-1.59462
2012-03-01,-1.55698
2012-04-01,-1.53604
2012-05-01,-1.56702
2012-06-01,-1.66946
2012-07-01,-1.66992
2012-08-01,-1.57892
2012-09-01,-1.59344
2012-10-01,-1.48165
2012-11-01,-1.4593
2012-12-01,-1.51591
2013-01-01,-1.4433
2013-02-01,-1.36239
2013-03-01,-1.46834
2013-04-01,-1.35183
2013-05-01,-1.30253
2013-06-01,-1.22454
2013-07-01,-1.15648
2013-08-01,-1.17272
2013-09-01,-1.1208
2013-10-01,-1.29754
2013-11-01,-1.0962
2013-12-01,-1.07375
2014-01-01,-0.95004
2014-02-01,-0.92643
2014-03-01,-0.91273
2014-04-01,-0.88046
2014-05-01,-0.82379
2014-06-01,-0.68768
2014-07-01,-0.63962
2014-08-01,-0.65773
2014-09-01,-0.58399
2014-10-01,-0.46712
2014-11-01,-0.50663
2014-12-01,-0.46934
2015-01-01,-0.35876
2015-02-01,-0.30434
2015-03-01,-0.24369
2015-04-01,-0.29699
2015-05-01,-0.28453
2015-06-01,-0.27678
2015-07-01,-0.26076
2015-08-01,-0.12733
2015-09-01,-0.12257
2015-10-01,-0.09561
2015-11-01,-0.11313
2015-12-01,0.0969
2016-01-01,-0.02501
2016-02-01,-0.08398
2016-03-01,-0.05328
2016-04-01,-0.04756
2016-05-01,-0.04186
2016-06-01,0.02261
2016-07-01,0.01307
2016-08-01,0.038
2016-09-01,0.02643
2016-10-01,0.11709
2016-11-01,0.24173
2016-12-01,0.21976
2017-01-01,0.29802
2017-02-01,0.29457
2017-03-01,0.30611
2017-04-01,0.31707
2017-05-01,0.39903
2017-06-01,0.37805
2017-07-01,0.48973
2017-08-01,0.39681
2017-09-01,0.46737
2017-10-01,0.51764
2017-11-01,0.58429
2017-12-01,0.4622
2018-01-01,0.55619
2018-02-01,0.64692
2018-03-01,0.7747
2018-04-01,0.68021
2018-05-01,0.79437
2018-06-01,0.72737
2018-07-01,0.90124
2018-08-01,1.06945
2018-09-01,0.87596
2018-10-01,0.96535
2018-11-01,0.91695
2018-12-01,0.95844
2019-01-01,0.79554
2019-02-01,0.93805
2019-03-01,0.89124
2019-04-01,0.88161
2019-05-01,0.9218
2019-06-01,0.97298
2019-07-01,1.11113
2019-08-01,0.99535
2019-09-01,0.98374
2019-10-01,0.90138
2019-11-01,0.95893
2019-12-01,1.01302
2020-01-01,1.11272
2020-02-01,1.03001
2020-03-01,0.02933
2020-04-01,-2.3631
2020-05-01,-1.16114
2020-06-01,-0.66129
2020-07-01,-1.32843
2020-08-01,-0.96072
2020-09-01,-0.58703
2020-10-01,-0.42605
2020-11-01,-0.60141
2020-12-01,-0.52483
2021-01-01,-0.51788
2021-02-01,-0.2853
2021-03-01,-0.11179
2021-04-01,0.20724
2021-05-01,0.40386
2021-06-01,0.6194
2021-07-01,0.75808
2021-08-01,0.90607
2021-09-01,0.92579
2021-10-01,1.08082
2021-11-01,1.23125
2021-12-01,1.28984
2022-01-01,1.41623
2022-02-01,1.40604
2022-03-01,1.33943
2022-04-01,1.30271
2022-05-01,1.41444
2022-06-01,1.37804
2022-07-01,1.35446
2022-08-01,1.39016
2022-09-01,1.34518
2022-10-01,1.13315
2022-11-01,1.13903
2022-12-01,1.20966
2023-01-01,1.17545
2023-02-01,1.14898
2023-03-01,1.02495
2023-04-01,1.03765
2023-05-01,0.99046
2023-06-01,0.9064
2023-07-01,1.07375
2023-08-01,0.81593
2023-09-01,0.885
2023-10-01,0.79926
2023-11-01,0.85916
2023-12-01,0.80264
2024-01-01,0.71249
2024-02-01,0.60077
2024-03-01,0.65689
2024-04-01,0.57059
2024-05-01,0.58153
2024-06-01,0.50052
2024-07-01,0.51119
2024-08-01,0.46755
2024-09-01,0.44443
